 TESLA 100D 4x4 - EU - autopilot wer. 2.5 - FV 23%	350550,00zł
 TESLA MODEL X 100D JEDYNA TAKA NA ŚWIECIE!	289000,00zł
 Tesla model X 100 525 kM nie rejestrowana	200000,00zł
 TESLA MODEL S 85D Darmowe ładowanie!	179000,00zł
 TESLA MODEL S (5YJS) P85D AWD 772 KM	175000,00zł
 TESLA MODEL S (5YJS) 85 421 KM	149900,00zł
 TESLA MODEL S (5YJS) P85 421 KM BRUTTO	134900,00zł
 HP Q2N66A - HPE NVIDIA Tesla V100 SXM2 16GB Module (Q2N66A)	47690,49zł
 PNY Tesla V100 32GB HBM2 (TCSV100M32GBPB)	42642,91zł
 HP Q0C71A - HPE NVIDIA Tesla P100 SXM2 16GB Module (Q0C71A)	38545,83zł
 PNY Nvidia Tesla V100 Modul 16GB (TCSV100MPCIEPB)	38424,17zł
 PNY Tesla P40M 24GB (TCSP40M24GBPB)	31256,28zł
 PNY NVidia Tesla P100 16GB (TCSP100M-16)	30999,00zł
 HP Q0V80A - HPE NVIDIA Tesla P40 24GB Module (Q0V80A)	29215,08zł
 PNY NVidia Tesla M40 24GB (TCSM40M-24GB-PB)	27500,00zł
 PNY NVidia Tesla P100 12GB (TCSP100M-12)	25999,00zł
 Lenovo 00YL377 - NVidia Tesla M60 GPU, PCIe (active) (00YL377)	25831,99zł
 Lenovo 00KG655 - NVIDIA Tesla M60 GPU, PCIe (passive) (00KG655)	25831,99zł
 PNY Tesla M40M 12GB (TCSM40MPB)	25820,43zł
 PNY Tesla M40 (TCSM40M12)	23999,00zł
 HP 805133-B21 - HP MultiGPU Carrier 2 Tesla M6 FIO Adptr (805133B21)	23911,70zł
 HP M3X67A - HPE NVIDIA Tesla M60 RAF Dual GPU Module (M3X67A)	23898,41zł
 HP 872629-B21 - HPE BladeSystem NV Tesla M60 FIO Kit (872629B21)	23898,41zł
 HP J0X21A - HPE NVIDIA Tesla M60 Dual GPU Module (J0X21A)	23898,41zł
 PNY Tesla P100 12GB (TCSP100M12GBPB)	23034,01zł
 PNY Tesla M60 (TCSM60CARDLONGPB)	23034,01zł
 PNY Tesla M60 (TCSM60ML2RPB)	23034,01zł
 PNY Tesla M60 (TCSM60MR2LPB)	23034,01zł
 PNY Tesla M60 (TCSM60CARDSHORTPB)	23034,01zł
 PNY Tesla K80 24GB (TCSK80MPB)	22900,00zł
 Lenovo 47C2137 - NVIDIA Tesla K40 for Flex System PCIe Expansion Node (47C2137)	20543,54zł
 PNY Tesla K40C 12GB (TCSK40CARDPB)	17800,31zł
 HP F1R08AR - HP NVIDIA Tesla K40 12GB Reman Module (F1R08AR)	16925,61zł
 PNY Tesla K40M (TCSK40MPB)	16500,00zł
 PNY Tesla M10M (TCSM10MPB)	12152,00zł
 HP 826042-B21 - HPE SY 480 NVIDIA Tesla M6 FIO Mezz Card (826042B21)	11670,08zł
